nohup: ignoring input
2024-06-28 04:58:59.029773: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-06-28 04:59:00.200368: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/chiara/DataAUG/Generation_GAN/main.py:62: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:78.)
  valid = Variable(Tensor(imgs.shape[0], 1).fill_(1.0), requires_grad=False)
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
netbios_ssn2
[Epoch 0/500] [Batch 0/7] [D loss: 0.693146] [G loss: 0.696025]
[Epoch 0/500] [Batch 1/7] [D loss: 0.693860] [G loss: 0.742320]
[Epoch 0/500] [Batch 2/7] [D loss: 0.687221] [G loss: 0.688276]
[Epoch 0/500] [Batch 3/7] [D loss: 0.653661] [G loss: 0.698182]
[Epoch 0/500] [Batch 4/7] [D loss: 0.467083] [G loss: 1.053818]
[Epoch 0/500] [Batch 5/7] [D loss: 0.226907] [G loss: 1.998632]
[Epoch 0/500] [Batch 6/7] [D loss: 0.087599] [G loss: 3.823253]
[Epoch 1/500] [Batch 0/7] [D loss: 0.236133] [G loss: 2.761817]
[Epoch 1/500] [Batch 1/7] [D loss: 0.198298] [G loss: 7.043878]
[Epoch 1/500] [Batch 2/7] [D loss: 0.045061] [G loss: 5.112660]
[Epoch 1/500] [Batch 3/7] [D loss: 0.060477] [G loss: 3.366084]
[Epoch 1/500] [Batch 4/7] [D loss: 0.068763] [G loss: 3.703734]
[Epoch 1/500] [Batch 5/7] [D loss: 0.055598] [G loss: 4.895060]
[Epoch 1/500] [Batch 6/7] [D loss: 0.040684] [G loss: 5.346542]
[Epoch 2/500] [Batch 0/7] [D loss: 0.055303] [G loss: 4.351499]
[Epoch 2/500] [Batch 1/7] [D loss: 0.065538] [G loss: 4.427267]
[Epoch 2/500] [Batch 2/7] [D loss: 0.043276] [G loss: 5.610188]
[Epoch 2/500] [Batch 3/7] [D loss: 0.043542] [G loss: 4.302732]
[Epoch 2/500] [Batch 4/7] [D loss: 0.049327] [G loss: 3.862279]
[Epoch 2/500] [Batch 5/7] [D loss: 0.058067] [G loss: 3.836979]
[Epoch 2/500] [Batch 6/7] [D loss: 0.057675] [G loss: 4.029688]
[Epoch 3/500] [Batch 0/7] [D loss: 0.039886] [G loss: 4.824573]
[Epoch 3/500] [Batch 1/7] [D loss: 0.052140] [G loss: 3.741618]
[Epoch 3/500] [Batch 2/7] [D loss: 0.037366] [G loss: 4.894686]
[Epoch 3/500] [Batch 3/7] [D loss: 0.032582] [G loss: 4.743434]
[Epoch 3/500] [Batch 4/7] [D loss: 0.039501] [G loss: 3.873571]
[Epoch 3/500] [Batch 5/7] [D loss: 0.028404] [G loss: 5.314342]
[Epoch 3/500] [Batch 6/7] [D loss: 0.018495] [G loss: 6.037322]
[Epoch 4/500] [Batch 0/7] [D loss: 0.015115] [G loss: 5.477274]
[Epoch 4/500] [Batch 1/7] [D loss: 0.047300] [G loss: 3.361557]
[Epoch 4/500] [Batch 2/7] [D loss: 0.038407] [G loss: 5.346217]
[Epoch 4/500] [Batch 3/7] [D loss: 0.023259] [G loss: 4.552749]
[Epoch 4/500] [Batch 4/7] [D loss: 0.018986] [G loss: 5.533986]
